Temperature (°C),"Magnus (610.5, 17.27, 237.3), PSY74","Magnus (611.2, 17.62, 242.2), SON90","Magnus (611.2, 17.67, 243.5), NOAA","Alternative magnus, weather.gov","Arden Buck (611.21, 18.678, 257.14, 234.5), Wiki",Arden Buck dual,ČSN EN ISO 13788
10.5,1267.5974496607068,1270.9973698611295,1268.863622877745,1270.0997203768884,1269.5979881475707,1269.538201208149,1269.0394842446758
11.0,1310.4558386582944,1314.098384638525,1311.8020049867334,1313.108382998604,1312.580491904487,1312.513177174266,1312.0112625395682
11.5,1354.5825416834716,1358.4824212186472,1356.016437929139,1357.3917252664746,1356.8392321284487,1356.763775166859,1356.2565942582517
12.0,1400.0094151492215,1404.1820383586394,1401.539270425093,1402.9818107626065,1402.4064035461724,1402.3221605935028,1401.8075136709174
12.5,1446.7689602098567,1451.2304656500828,1448.4035177490302,1449.9113529296142,1449.3148536863885,1449.221150845977,1448.69670428889
13.0,1494.8943322022785,1499.6616136902278,1496.6428718608686,1498.2137245994213,1497.59809229497,1497.4942247101046,1496.9575083837929
13.5,1544.4193501569714,1549.510084336896,1546.2917116215344,1547.9229675925053,1547.290300809133,1547.175531835309,1546.6239365770798
14.0,1595.3785063782134,1600.811181046649,1597.385113092459,1599.0738023870558,1598.4263418897608,1598.2999022629735,1597.7306774994004
14.5,1647.8069760929536,1653.6009192957981,1649.9588599186502,1651.7016378574954,1651.0417690108661,1650.9028560126587,1650.3131075192437
15.0,1701.7406271678094,1707.916037083822,1704.0494537949303,1705.8425810818019,1705.1728361052076,1705.0206127252115,1704.407300540305
15.5,1757.2160298936076,1763.7940055187416,1759.6941250149198,1761.533447217054,1760.8565072650395,1760.690101361789,1760.0500378669967
16.0,1814.2704668368922,1821.2730394839764,1816.930843102324,1818.8117694426087,1818.1304664969564,1817.9489699577846,1817.2788181375124
16.5,1872.9419427577961,1880.3921083862156,1875.7983275240672,1877.715808970308,1877.0331275297797,1876.835595430644,1876.1318673238386
17.0,1933.2691945936729,1941.190946983782,1936.3360584848092,1938.2845651210923,1937.6036436744034,1937.3890934405174,1936.6481487980968
17.5,1995.2917015078594,2003.7100662949986,1998.5842878023493,2000.5577854673918,1999.881917734507,1999.6493283026914,1998.8673734645888
18.0,2059.0496950029374,2067.9907645860158,2062.5840498634307,2064.5759760406486,2063.908611967011,2063.6569229507168,2062.830009956888
18.5,2124.584169097834,2134.075138437555,2128.3771726594186,2130.3804116033075,2129.725158091149,2129.453268949132,2128.577294899329
19.0,2191.936890568117,2202.0060938900165,2196.006288901328,2198.01314598461,2197.373767344984,2197.0805365546594,2196.151243232225
19.5,2261.1504092487844,2271.8273576663755,2265.514847213654,2267.517022479499,2266.8974405882086,2266.581684824735,2265.5946586001123
20.0,2332.268068398876,2343.583488472274,2336.947123406443,2338.9356843099335,2338.339978450019,2338.000471772226,2336.951143802342
20.5,2405.3340151272023,2417.319888372709,2410.3482318250417,2412.313585147918,2411.745991520867,2411.381464565133,2410.265111305298
21.0,2480.3932108784734,2493.082814244702,2485.764136776915,2487.6959996995,2487.1609105868392,2486.7700497701167,2485.5817938155224
21.5,2557.4914419790975,2570.919389305311,2563.2416640349484,2565.1290343490155,2564.630996905423,2564.212443638612,2562.947254913009
22.0,2636.6753302419284,2650.877614714347,2642.82851241661,2644.6596378628283,2644.2033525213897,2643.755702434313,2642.4083997439157
22.5,2717.9923436291833,2733.006381251125,2724.57326543834,2726.3356121518,2725.9259306215044,2725.447732800775,2724.012985771944
23.0,2801.4908069727953,2817.3554810645837,2808.5254030445235,2810.2056230917265,2809.8475459267697,2809.3373021678754,2807.8096335876035
23.5,2887.219912751409,2903.9756194960855,2894.735313410388,2896.319211400937,2896.017885120853,2895.474049195851,2893.8478377745796
24.0,2975.2297319232425,2992.918426974183,2983.2543048181465,2984.726803574283,2984.487517313405,2983.9084942556096,2982.1779778324158
24.5,3065.5712248140057,3084.2364709806534,3074.1346176057154,3075.4797228726975,3075.3079045368704,3074.692049944014,3072.851329154689
25.0,3158.2962520590945,3177.9832680870572,3167.4294361872853,3168.6302003674946,3168.531412275435,3167.8770316327955,3165.9200740618753
25.5,3253.457585599205,3274.213296061089,3263.1929011450407,3264.2313860386025,3264.2113200247413,3263.5166680497614,3261.437312888067
26.0,3351.108919728562,3372.982006041954,3361.480121391317,3362.3373599258675,3362.4018318809312,3361.6651118909276,3359.457075120694
26.5,3451.30488219492,3474.3458347840165,3462.3471864004173,3463.0031433325853,3463.158087157628,3462.377450462217,3460.0343305924207
